種別,都道府県,名称,住所,メールアドレス,電話番号,公式サイトURL,問い合わせフォームURL,情報取得元URL,営業優先度,送信方法,送信ステータス,初回送信日,返信有無,次回対応日,担当者,提案角度,備考,宛名,件名,送信用本文
JC,茨城県,（一社）土浦青年会議所,,,029-822-3426,http://www.tsuchiura-jc.jp/,,https://www.tsuchiura-jc.jp/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）土浦青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（一社）坂東青年会議所,,,,http://bando-jc.com/,,https://www.jaycee.or.jp/kanto/ibaraki/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）坂東青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（一社）境青年会議所,,,,https://www.sakai-jc.org/,,https://www.jaycee.or.jp/kanto/ibaraki/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）境青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（一社）常総青年会議所,〒303-0045 茨城県常総市大塚戸町875,,,https://www.joso-jc.jp/,https://www.joso-jc.jp/,https://www.joso-jc.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）常総青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,茨城県,（一社）日立青年会議所,〒317-0064 茨城県日立市神峰町3-4-3,,0294-22-6341,http://www.hitachijc.or.jp/,http://www.hitachijc.or.jp/2026/form.php,http://www.hitachijc.or.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）日立青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,茨城県,（一社）牛久青年会議所,874-7004 〒300-1232 茨城県牛久市上柏田4-1-1 牛久市商工会館4F,,029-874-7004,http://www.ushikujc.com/,https://ushikujc.com/contact/,https://www.ushikujc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）牛久青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,茨城県,（一社）石岡青年会議所,〒315-0001 茨城県石岡市石岡3165-21,,,http://www.ishiokajc.org/,https://www.ishiokajc.org/contact/,https://www.ishiokajc.org/contact/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）石岡青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,茨城県,（一社）竜ヶ崎青年会議所,,,,https://ryugasaki-jc.jp/,,https://www.jaycee.or.jp/kanto/ibaraki/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）竜ヶ崎青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（一社）笠間青年会議所,,,,http://www.kasamajc.jp/,,https://www.jaycee.or.jp/kanto/ibaraki/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）笠間青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（一社）茨城南青年会議所,,,,http://ibarakiminami-jc.or.jp/,,https://www.jaycee.or.jp/kanto/ibaraki/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）茨城南青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（一社）高萩青年会議所,,,,http://takahagijc.web.fc2.com/,,https://www.jaycee.or.jp/kanto/ibaraki/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）高萩青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,茨城県,（公社）水戸青年会議所,〒310-0011 茨城県水戸市三の丸1-5-38 茨城県三の丸庁舎1F,,,http://www.mito-jc.or.jp/,https://www.mito-jc.or.jp/toi.html,https://www.mito-jc.or.jp/toi.html,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（公社）水戸青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,ひたちなか商工会議所,〒312-8716 茨城県 ひたちなか市 勝田中央１４－８,,029-273-1371,https://www.hcci.jp/,https://www.hcci.jp/map.htm,https://ccisearch.jcci.or.jp/data/cci.json,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,ひたちなか商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,下館商工会議所,〒308-0031 茨城県 筑西市 丙３６０,,0296-22-4596,https://www.shimodate-cci.or.jp/,https://www.shimodate-cci.or.jp/wp/latest_information/202206212961,https://ccisearch.jcci.or.jp/data/cci.json,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,下館商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,古河商工会議所,〒306-0041 茨城県 古河市 鴻巣１１８９－４,,0280-48-6000,https://www.kogacci.or.jp,https://kogacci.or.jp/contact/,https://ccisearch.jcci.or.jp/data/cci.json,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,古河商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,土浦商工会議所,〒300-0043 茨城県 土浦市 中央２－２－１６,,029-822-0391,https://www.tcci.jp/,https://www.tcci.jp/cat202/,https://www.tcci.jp/,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,土浦商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,日立商工会議所,〒317-0073 茨城県 日立市 幸町１－２１－２,,0294-22-0128,https://www.hitachicci.or.jp/,https://www.hitachicci.or.jp/contact/,https://ccisearch.jcci.or.jp/data/cci.json,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,日立商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,水戸商工会議所,〒310-0801 茨城県 水戸市 桜川２－２－３５ 茨城県産業会館３階,,029-224-3315,https://mito.inetcci.or.jp/,,https://ccisearch.jcci.or.jp/data/cci.json,A,電話,未送信,,,,,会員企業向け無料AI活用セミナー共催,,水戸商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,
商工会議所,茨城県,石岡商工会議所,〒315-0013 茨城県 石岡市 府中１－５－８,,0299-22-4181,https://www.ishioka.or.jp/,https://www.ishioka.or.jp/お問い合わせ,https://ccisearch.jcci.or.jp/data/cci.json,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,石岡商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,茨城県,結城商工会議所,〒307-0001 茨城県 結城市 大字結城５３１,,0296-33-3118,https://yuuki.inetcci.or.jp/,https://yuuki.inetcci.or.jp/contact/,https://ccisearch.jcci.or.jp/data/cci.json,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,結城商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,栃木県,（一社）佐野青年会議所,,,,http://www.sanojc.or.jp/,,https://www.jaycee.or.jp/kanto/tochigi/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）佐野青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,栃木県,（一社）宇都宮青年会議所,〒320-0806 宇都宮市中央3-1-4,,028-637-1006,http://www.utsunomiya-jc.or.jp/,https://utsunomiya-jc.or.jp/,https://utsunomiya-jc.or.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）宇都宮青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,栃木県,（一社）小山青年会議所,,,,http://www.it-service.co.jp/oyamajc/,,https://www.jaycee.or.jp/kanto/tochigi/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）小山青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,栃木県,（一社）日光青年会議所,〒321-1262 栃木県日光市平ヶ崎200−１,,0288-30-1171,https://nikko-jc.com/,,https://www.nikko-jc.com/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）日光青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,栃木県,（一社）栃木青年会議所,〒328-0053 栃木県栃木市片柳町2-1-46 商工会議所3F,,0282-24-8118,http://www.tochigijc.jp/,https://www.tochigijc.jp/category/information/,https://www.tochigijc.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）栃木青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,栃木県,（一社）真岡青年会議所,,,0285-82-6666,http://www.moka-jc.org/,,https://www.moka-jc.org/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）真岡青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,栃木県,（一社）足利青年会議所,,info@jciashikaga.com,,http://www.ashikaga-jc.com/,https://forms.gle/e2XTzJDw2tMJ7Ep37,https://www.ashikaga-jc.com/,B,メール,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）足利青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"（一社）足利青年会議所 ご担当者様

突然のご連絡を失礼いたします。
株式会社AIスキル、法人研修事業担当の河野 邦彦と申します。

このたびは、貴青年会議所の会員様・地域の若手経営者の皆さま向けに「無料AI活用セミナー」の共催についてご相談させていただきたく、ご連絡いたしました。

弊社では、生成AI・ChatGPTの正しい活用を全国の中小企業へ広げることを目的として、地域団体様と連携した無料セミナー開催を進めております。費用のご負担なく、若手経営者への新しい学びの機会として、また地域企業支援・次世代リーダー向けの実践的コンテンツとしてご活用いただける内容です。

弊社が運営するAIスキルアカデミーは、九州工業大学 生命体工学研究科 人間知能システム工学専攻にてAI研究を行う鈴木章央先生にコンテンツを監修いただいており、現在16,000名以上の会員様にご利用いただいております。会員の約20%が中小企業の経営者・事業責任者の方々であり、これまでに約3,000名にAI活用事例を提供してまいりました。

過去には、新富町商工会議所様にて約20名の方を対象に1時間半のAI活用セミナーを実施し、地元紙にも取り上げていただきました。

概要資料を添付しておりますので、ご確認いただき、上長や担当部署内でのご共有にお役立てください。

まずは一度30分ほどオンラインにて、共催の可能性についてご相談させてください。ご関心をお持ちいただけましたら、候補日をいくつかいただけますと幸いです。

何卒よろしくお願いいたします。

------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,栃木県,（一社）那須野ヶ原青年会議所,,,,http://www.nasunogahara-jc.com/,http://www.nasunogahara-jc.com/,http://www.nasunogahara-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）那須野ヶ原青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,栃木県,（一社）鹿沼青年会議所,,,,http://www.kanumajc.or.jp/,https://docs.google.com/forms/d/e/1FAIpQLSe7hcKzgZXK87qPJU2PC0fs7QxuJngUbOfbMNne0hd5o6wy7g/viewform,https://www.kanumajc.or.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）鹿沼青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,栃木県,（一社）黒磯那須青年会議所,,,,http://www.kuroisonasu-jc.com/,https://www.kuroisonasu-jc.com/,https://www.kuroisonasu-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）黒磯那須青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,栃木県,佐野商工会議所,〒327-0027 栃木県 佐野市 大和町２６８７－１,,0283-22-5511,https://www.sanocci.or.jp/,https://www.sanocci.or.jp/sodan/,https://www.sanocci.or.jp/,A,問い合わせフォーム,未送信,,,,,会員企業向け無料AI活用セミナー共催,,佐野商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴会の会員企業様向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
商工会議所,栃木県,大田原商工会議所,〒324-0051 栃木県 大田原市 山の手１-１-１ 皇漢堂ビル,info@ohtawaracci.or.jp,0287-22-2273,http://www.ohtawaracci.or.jp/,https://forms.gle/QmqmmN5AvN96iXR86,https://ccisearch.jcci.or.jp/data/cci.json,A,メール,未送信,,,,,会員企業向け無料AI活用セミナー共催,,大田原商工会議所 ご担当者様,【無料共催のご相談】会員企業様向けAI活用セミナーについて,"大田原商工会議所 ご担当者様

突然のご連絡を失礼いたします。
株式会社AIスキル、法人研修事業担当の河野 邦彦と申します。

このたびは、貴会の会員企業様向けに「無料AI活用セミナー」の共催についてご相談させていただきたく、ご連絡いたしました。

弊社では、生成AI・ChatGPTの正しい活用を全国の中小企業へ広げることを目的として、地域団体様と連携した無料セミナー開催を進めております。費用のご負担なく、会員企業様への新しい情報提供やDX・AI活用支援、経営支援コンテンツとしてご活用いただける内容です。

弊社が運営するAIスキルアカデミーは、九州工業大学 生命体工学研究科 人間知能システム工学専攻にてAI研究を行う鈴木章央先生にコンテンツを監修いただいており、現在16,000名以上の会員様にご利用いただいております。会員の約20%が中小企業の経営者・事業責任者の方々であり、これまでに約3,000名にAI活用事例を提供してまいりました。

過去には、新富町商工会議所様にて約20名の方を対象に1時間半のAI活用セミナーを実施し、地元紙にも取り上げていただきました。

概要資料を添付しておりますので、ご確認いただき、上長や担当部署内でのご共有にお役立てください。

まずは一度30分ほどオンラインにて、共催の可能性についてご相談させてください。ご関心をお持ちいただけましたら、候補日をいくつかいただけますと幸いです。

何卒よろしくお願いいたします。

------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
