"セグメント","サブカテゴリ","会社名","URL","事業概要","問い合わせ窓口","代表者","採用ページURL","営業トーク仮説"
"受け入れ系","カンボジア・宿泊","BLANK GUEST HOUSE（シェムリアップ）","https://blank-guest-house.hotelinsiemreap.net/en/","カンボジア・シェムリアップでアンコールワット観光客向けに展開する日本人経営ゲストハウス。インターン受け入れや夜のBBQイベントなど『沈没系』コミュニティ宿として人気。","https://www.instagram.com/blankguesthouse/（DM）","オーナー 土屋柊一郎（一輪車世界一周経験者）","不明","オーナーの『新卒で海外移住・一輪車世界一周』というニッチな物語は大衆に翻訳すれば刺さるネタの宝庫。共感型のストーリーテリング動画とインターン採用の二軸で『人が集まる宿』をブランド化する提案。"
"受け入れ系","ラオス・宿泊","ソークミーサイ ゲストハウス（ルアンパバーン）","https://sokmisay.amebaownd.com/","ラオス・世界遺産ルアンパバーン唯一の日本人経営プチホテル兼ゲストハウス。日本人妻りえこ氏とラオス人夫が運営、市内観光・クアンシー滝などの日本語ツアーも手配。","https://www.facebook.com/laos.luangprabang.culture.guesthouse/","オーナー りえこ氏（日本人）・ケオ氏（ラオス人）","なし","『東南アジア最後の秘境』というニッチな立地は、ケニアと同じく『辺境地から発信して日本から呼ぶ』RAHAの十八番。世界遺産×日本人夫婦の物語を軸にしたショート動画で女性個人旅行客のファン化を提案。"
"受け入れ系","バリ・宿泊（ヴィラ）","ロカパラヴィラ（Loka Pala Villa）","https://www.lokapalavilla.com/jp/","バリ島ウブド南部ニュークニン村にある日本人オーナーのブティックヴィラ。12室、独立キッチン付きで長期滞在・ロングステイ需要にも対応。","https://www.lokapalavilla.com/jp/contact/","オーナー 日暮若菜氏","不明","ヴィラは『高単価・低稼働でも収益化』が肝。RAHAの『ニッチを大衆の共感に翻訳』する強みで、ウブドの暮らし×女性オーナーの物語を縦動画化し、Instagram経由で月◯件の長期滞在を直予約獲得する提案。"
"受け入れ系","バリ・サーフ","PT. Dekom Bali Surf School（デコムバリサーフ）","https://surfingschoolbali.com/","2011年開業、バリ島クタビーチに面した日本人経営のインドネシア政府公認サーフィンスクール。日本語堪能なインストラクター7名体制で初心者から上級者まで対応。","http://dekomsurf.com/jpn/company.html","日本人オーナー（サーファー）","不明","サーフィンは『一度乗ったら虜になる』感情体験商材。レッスン中のテンションをショート動画で切り取り、Before/After（初日でテイクオフ）型のフォーマットで日本のサーフィン初心者層を発掘・送客する提案。"
"受け入れ系","バリ・サーフ","SYABALI SURFING SCHOOL（シャバリ／3S SURF）","http://syabali.net/","2003年創業、バリ島クタの日本人専門サーフィンスクール。年間100名超のリピーターを抱え、サーフィン歴40年のインストラクターShigeが個別指導。","syabali@yahoo.co.jp","代表 Shige氏（日本人インストラクター）","不明","リピーター100名超という資産はファンコミュニティ化の宝庫。卒業生の上達ストーリーをUGC風ショート動画で量産し、LINE公式での『次回バリ訪問予約』導線設計まで提案。"
"受け入れ系","バリ・ウェディング","バリウェディング.jp（アマンダチャペル）","http://bali-wedding.jp/","バリ島にオフィスを構える日本人経営のウェディング専門会社。自社チャペル・フォトスタジオ・ウェディングサロンを保有し、日本人スタッフがワンストップ対応。","http://bali-wedding.jp/contact.html","不明","不明","ウェディングは『憧れの感情』を動画で見せられるかが命。挙式当日のドキュメンタリー型ショート動画＋花嫁の準備リール等で、Instagramからチャペル指名問い合わせを作る提案。"
"受け入れ系","バリ・ウェディング","Feast Bali Bridal","https://feast-japan.com/","バリ島プライベートヴィラ・ウェディングを14年以上手掛ける日本人経営のウェディングプランナー。国内相談デスクと現地日本人スタッフによるサポート体制。","ioka@feast-japan.com","不明（ioka氏が窓口）","不明","ヴィラ婚という『非日常×プライベート感』はTikTokで強い。当日のリアルな式の様子・参列者リアクションをショート動画化し、ニッチ高単価カップル層への共感型集客を提案。"
"受け入れ系","フィリピン・ダイビング","アクアスケープ（Aquascape Cebu）","https://aquascape-cebu.com/","セブ・マクタン島の日本人女性オーナーが運営するダイビングショップ。サイパンの老舗『シーショア』が2012年にセブで開業、シャングリラホテル並びの好立地。","https://aquascape-cebu.com/contact/","オーナー しばた氏（関西出身、元美術教師、CMASインストラクター）","不明","女性オーナーの『元教師→海外起業』ストーリーは大衆共感の宝庫。水中映像×オーナー解説のショート動画で『日本語で安心して潜れる』を訴求し、女性ソロダイバーのファン化を提案。"
"受け入れ系","フィリピン・マリンアクティビティ","ALL BLUE（オールブルー／セブ）","https://all-blue-cebu.com/","セブ島で唯一の日本人経営・日本人催行の現地アクティビティ会社。ジンベイザメツアー、アイランドホッピング、各種マリンスポーツを日本語ガイドで提供。","https://all-blue-cebu.com/contact/","不明","不明","ジンベイザメ遭遇は『ショート動画で最も視聴されるネタ』。撮影編集の企画力でバズ動画→指名予約の動線をRAHAの実績ベースで提案。POPUP的なファンミ的イベントも企画余地あり。"
"受け入れ系","フィリピン・語学留学","First English Global College","https://www.firstcebu.com/","セブ・マクタン島の日本資本語学学校。2025年1月にミックグループへ運営移管、日本式の手厚いサポートで初心者・親子留学・シニア留学に強み。","https://www.firstcebu.com/contact/","代表取締役 春木磨碑露","https://www.firstcebu.com/recruit/","語学学校は『生徒の上達ストーリー』が最強コンテンツ。卒業生インタビュー型ショート動画でリードを獲得し、説明会POPUP動員→個別相談の導線設計（RAHAの1,050人動員ノウハウ）まで提案。"
"受け入れ系","フィリピン・語学留学","Global Language Cebu（GLC）","https://jp.glcenglish.com/","セブ島の日系大型語学学校（旧IDEA CEBU、2011年創業）。学校定員400名、日本人を中心に台湾・ベトナム・中国など多国籍の留学生が集まる。","https://jp.glcenglish.com/contact","不明（日本人オーナー）","https://jp.glcenglish.com/recruit","競合過多のセブ留学市場で『安さ』訴求から『共感ストーリー』訴求への転換を提案。生徒VLOG型ショート動画と保護者向け説明会POPUP導線で、親子留学・社会人留学リードを獲得。"
"受け入れ系","フィリピン・IT留学","シードテックスクール（Seed Tech School）","https://programming.seed-tech-school.com/","セブ島最大手の日系IT×英語留学スクール。2013年開校、2,500名以上の卒業生がIT・スタートアップ等で活躍。エンジニア留学と英語留学を提供。","https://programming.seed-tech-school.com/contact","不明","https://programming.seed-tech-school.com/recruit","『AI時代に海外でエンジニア転身』というニッチ商材。卒業生のキャリア変遷をストーリー仕立てのショート動画にし、海外×IT×英語に憧れる若手社会人のリード獲得を提案。"
"受け入れ系","タイ・ダイビング","ワンステッププーケット（株式会社Sun&Sea Siam）","https://one-step-phuket.com/","2010年開業、プーケットの日本人経営ダイビングショップ。10年以上の無事故実績、ピピ島・シミラン諸島へのファンダイブと体験ダイビング、PADIライセンス講習を展開。","https://one-step-phuket.com/contact/","代表 八杉明信（PADIインストラクター、ダイブガイド歴25年）","https://one-step-phuket.com/profile/staff/","ピピ島の水中映像は競合と差別化しづらいので『日本人ガイドの人柄・安全への姿勢』をフィーチャーした人物コンテンツを提案。Before/Afterの体験者リアクション動画も効果的。"
"受け入れ系","タイ・チェンマイ宿泊","Koenji Guest House & Bar Chiang Mai","https://www.facebook.com/profile.php?id=61581414629253","2025年11月開業、チェンマイ川沿いの日本人運営ゲストハウス＆バー。東京・高円寺の文化をチェンマイに持ち込むコンセプトで、ノマド・長期滞在者のコミュニティ拠点。","FacebookまたはInstagram DM","共同オーナー 浅野氏（栃木出身）・三谷崇史（福岡出身）","不明","開業ストーリー＋『チェンマイで暮らす日本人ノマド』のリアルをドキュメンタリー化。RAHAのPOPUP動員ノウハウを応用し、東京・大阪での日本イベント開催→チェンマイ来訪導線まで設計提案。"
"受け入れ系","タイ・ダイビング","サムイダイビングサービス","http://www2.oceanus-dive.jp/shop/samui/samuidivingservice.html","サムイ島・タオ島エリア最初の日本人経営ダイビングサービス。日本人スタッフ10名以上、自社クルーズ船によるタオ島唯一の常設クルーズを夏期に運航。","サイト内お問い合わせ","不明","不明","『日本人スタッフ10名・自社クルーズ船』という規模感を逆手に取り、スタッフ個別人格を立てたショート動画群でファン化。指名ガイド予約・季節クルーズの早割導線をLINEで設計提案。"
"受け入れ系","ベトナム・宿泊／ツアー","EZ STAY Hanoi（EZ VIET TOURISM AND TRADING SERVICE Co., Ltd.）","https://ezstayhanoi.com/","2014年創業、ハノイ発の日本人スタッフ対応オプショナルツアー会社。元日本人宿から進化し、ハロン湾クルーズ・サパ・ハジャンなど北部全域のツアー手配を展開。","https://ezstayhanoi.com/ask/","NGUYEN VAN KIEN（ベトナム人代表）・日本人共同創業者『ざわわ』氏","不明","サパ・ハジャンなど『北部の知られざる秘境』はショート動画で爆発的に伸びる素材。ニッチを大衆に翻訳するRAHAの企画力で、競合のひしめくハロン湾以外の差別化集客を提案。"
"受け入れ系","ベトナム・ツアー","TNKトラベルJAPAN（TNK TRAVEL VIETNAM Co., Ltd.）","https://www.tnkjapan.com/","ホーチミン本社、ハノイ・ホイアン・シェムリアップに支店を持つベトナム最古参級の日系オプショナルツアー会社。メコンデルタ、クチトンネル等の定番から個人手配まで対応。","https://www.tnkjapan.com/contact/","日本人社長 吉田圭志／ベトナム人社長 Nguyen Hung Dung Trinh","不明","14年の蓄積データを活かし『現地ガイドの素顔』『ツアー裏側』のショート動画化で旅マエファン化。指名予約・LINE登録動線をRAHAの導線設計力で再構築する提案。"
"受け入れ系","ネパール・トレッキング","ヒマラヤンアクティビティーズ（Himalayan Activities）","https://www.himalayanactivities.com/","カトマンズ拠点の日本人経営旅行会社。代表は2000年からカトマンズ在住。ヒマラヤトレッキング、撮影取材手配、個人旅行アレンジに強み。","https://www.himalayanactivities.com/お問い合わせ/","代表 春日山紀子","不明","ヒマラヤは『非日常×自己変容』の最強コンテンツ。代表自身の25年カトマンズ生活ドキュメンタリー＋トレッキング映像で、富裕層・40代以上の自己投資旅市場を取りに行く提案。"
"受け入れ系","インド・ツアー","INDO TOURS（インドツアーズ）","https://www.indotours.net/","デリー本拠の日本人専門オーダーメイド旅行会社。空港送迎、車チャーター、鉄道・ホテル手配、カレー教室・アーユルヴェーダ等のニッチ体験も提供。","https://www.indotours.net/contact/","代表 バルジット・シン（BALJEET SINGH／日本語堪能、来日経験あり）","不明","『インドの怖さ』を『日本語完全サポートで安心』に翻訳できるかが勝負。代表シン氏の日本愛・人柄を全面に出したショート動画で、女性ソロ・はじめてのインド層を一気に取り込む提案。"
"受け入れ系","スリランカ・アーユルヴェーダ","アーユピサヤ（Ayu Pyasa）","不明（スリランカ現地施設）","スリランカ中央部の高原に2009年開業した日本人経営のアーユルヴェーダ専門ホテル。自家栽培オーガニック野菜と専門医師による本格トリートメントを提供。","不明","不明（日本人オーナー）","なし","ウェルネス×女性×高単価×長期滞在の理想的ターゲット。施設の世界観・施術プロセス・利用者変化をストーリー動画化し、日本人女性30〜50代の『自分時間旅』需要を獲得する提案。"
"受け入れ系","スリランカ・現地ツアー","サラトラベル スリランカ／ベトナム（Sara Travel）","https://www.sara-tour.com/srilanka/","スリランカ・ベトナム・カンボジア・ミャンマー・コモドに拠点を持つ日系現地旅行会社。日本語ガイド付きオリジナルツアー（バワ建築巡り、初日の出気球など）に強み。","https://www.sara-tour.com/srilanka/about/index.html","不明","不明","『バワ建築』『気球遊覧』など他社にないニッチ素材をRAHAの『ニッチを大衆に翻訳』する企画力でショート動画化。マニア層を超えて旅行検討層全般に届ける提案。"
"受け入れ系","シンガポール・ウェディング","瑠美子ウェディング シンガポール（RUMIKO WEDDING SINGAPORE）","https://www.rmk-wedding.com/","2001年からシンガポールで挙式・披露パーティ・フォトウェディングを手掛ける日系ウェディング会社。シンガポール育ちの代表が日本人カップル向けにきめ細かく対応。","https://www.rmk-wedding.com/contact/","代表 本山瑠美子","不明","代表のシンガポール育ち→日本でウェディング→帰国起業という個人ストーリーが大衆共感の素材。当日リアル＋準備リールでInstagram経由のカップル指名問い合わせを作る提案。"
"受け入れ系","台湾・現地ツアー","愛旅！台湾（株式会社ビッグハートインターナショナル）","https://aitabi.tw/","台湾・台中地上手配専門の日系旅行会社。現地スタッフによる最新情報と日本人向けきめ細かなサービスで、定番からウェルネスツーリズムまで企画提供。","https://www.bigheart.co.jp/aitabi-taiwan/","不明（株式会社ビッグハートインターナショナル運営）","https://www.bigheart.co.jp/recruit/","台湾は競合過多。『台中・南部の知られざる魅力』にフォーカスしたショート動画＋ウェルネスツーリズム企画動画で、リピーター日本人女性向けセカンド台湾旅需要を取りに行く提案。"
"受け入れ系","ハワイ・現地ツアー","アンドユークリエーションズ (And You Creations)","https://andyoucreations.com/ja/","ハワイ・オアフ島ホノルル拠点の現地ツアー会社。1989年創立のドルフィン＆ユー（野生イルカと泳ぐツアー）を起点に、滝ハイキング、サンセットクルーズ、B級グルメ巡りなど7つの日本人向けオプショナルツアーを運営、累計70万人以上の利用実績。","https://andyoucreations.com/ja/contact/","不明（住所:307 Lewers St. #401, Honolulu, HI 96815）","不明","イルカ・ウミガメといった一見『定番ハワイ』に隠れがちなニッチ体験を、共感ストーリーでZ世代女子旅層に刺すショート動画展開を提案。インスタ・TikTokからLINE登録→現地着後の追加ツアー予約という導線設計が刺さりやすい。"
"受け入れ系","ハワイ・現地ツアー","ハワイUVツアーズ (Hawaii UV Tours)","https://www.hawaiiuv.com/","オアフ島で日本人ガイド兼ドライバーによる貸切チャーターを提供。カイルア、ノースショア、ダウンタウン歴史スポットを少人数で巡るプライベートツアー専業。","https://www.hawaiiuv.com/contact/","不明","不明","『貸切チャーター』というニッチ高単価商材を、家族旅・記念日旅のストーリーに翻訳するショート動画施策を提案。ガイド個人の人柄が見える動画でリピート＆紹介を生む共感型運用が有効。"
"受け入れ系","ハワイ・ウェディング","サユミブライダル (SAYUMI BRIDAL)","https://sayumiwedding.com/","ワイキキ・ショッピングプラザ内に拠点を持つ日本人スタッフ運営のハワイ挙式・ビーチフォト・和装挙式プロデュース会社。20年以上の実績、ドレス100着以上の自社ラインナップ。","https://sayumiwedding.com/contact/","SAYUMI（ウェディングプランナー兼美容家）","不明","『高単価×ライフイベント』というRAHA得意領域。花嫁の実話ストーリーをショート動画化して指名検索を増やし、LINE個別相談→ハワイ来店という長期育成導線を設計する提案が刺さる。"
"受け入れ系","ハワイ・サーフ","ノースショアバンザイ サーフスクール","https://nsbanzai-surfschool.com/","ハワイ・オアフ島ノースショア拠点のサーフィンスクール。日本人プロサーファー兄弟（ノザキ・ケオニ＆カラニ）が運営、ハワイ州公認ライセンス保有の少人数日本語レッスン。","https://nsbanzai-surfschool.com/contact/","ノザキ・ケオニ／ノザキ・カラニ（兄弟）","不明","代表兄弟自身のストーリー（ハワイ生まれ日本人プロサーファーの2世）が強力な物語素材。本人出演ショート動画＋初心者女子サーファー目線のリアル体験記で、サーフ女子・カップル層の海外サーフ旅需要を獲りに行く提案が刺さる。"
"受け入れ系","カナダ・留学/ワーホリ","株式会社サポートマート（カナダ格安留学サポーター）","https://akageno-anne.jp/","大阪本町に本社を構えるカナダ留学・ワーホリエージェント。ビクトリア・バンクーバー・トロント・モントリオールの4都市に現地サポートセンターを持ち、2010年以来約2,500名を支援。","https://akageno-anne.jp/contact/","不明","不明","ワーホリ層は完全にショート動画で意思決定する世代。現地スタッフ密着＆渡航前不安解消Vlogをショート連投→LINE個別相談→申込みの導線設計が刺さる。RAHAの『採用にもSNS』ノウハウは現地スタッフ採用にも応用可能。"
"受け入れ系","カナダ・留学/ワーホリ","BRAND NEW WAY (BNW)","https://www.bnwjp.com/","カナダ8都市に直営現地オフィスを展開する大手無料留学エージェント。バンクーバー本社、カナダ留学・ワーホリ・フィリピン留学・Co-op留学を扱う。","https://www.bnwjp.com/office/contact/postmail.html","不明","https://www.bnwjp.com/recruit/","カナダ留学エージェント市場は競合多数で『指名検索』獲得が鍵。8都市の現地オフィスのリアル日常をショート動画化し、各都市別ペルソナ（バンクーバー/トロント別）でフォロワー獲得→LINE資料請求の独自ファネルを提案。"
"受け入れ系","カナダ・宿泊","B&B 青垣 (B&B Aogaki)","https://www.bbaogaki.com/","カナダ・バンクーバー郊外で日本人夫妻が運営する日本人向けB&B／ホームステイ。日本語完全対応、留学生・短期滞在者向け格安宿泊。","https://www.bbaogaki.com/contact","足立氏（オーナー夫妻）","なし","個人宿泊事業はマーケ予算が限られるため、まずは『LINE公式アカウント＋オーナー夫妻が登場するショート動画』で口コミ拡散型運用を提案。RAHA予算感とは合わない可能性あり、要見極め。"
"受け入れ系","米国・ツアー","あっとニューヨーク (At New York & Company)","https://www.at-newyork.com/","ニューヨーク本社の日系現地旅行会社。観光ツアー・空港送迎催行、ミュージカルやMLBチケット手配、ホテル予約をワンストップで提供。NYC TLCライセンス、IATA公認代理店。","https://www.at-newyork.com/contact/","土橋 省吾（代表）","不明","ニッチなNYカルチャー（ブロードウェイ／ジャズ／ローカルアート）を共感ストーリーで日本人若年層に翻訳するショート動画運用が刺さる。代表自身の知見をコンテンツ化したオーナー型発信＋LINE個別相談導線を提案。"
"受け入れ系","カナダ・ウィスラー","JAPANADA Enterprises Inc.","https://japanada.com/","1987年創業、カナダ・ウィスラーの個人旅行専門店。日本語による宿泊・アクティビティ・スキーリフト券・医療通訳までを年間通して提供。","https://japanada.com/contact","不明（カナダ現地法人）","不明","『スキー＆スノボ×海外個人旅行』はSNS時代の旅マーケと相性抜群。シーズン中のウィスラーリアルVlog＋初心者向け不安解消ショート動画で、コア層（スキースノボ熱量高めZ世代）への認知獲得を提案。"
"受け入れ系","NZ・ツアー","Tanken Tours Limited（タンケンツアーズ）","https://www.nzwilderness.co.nz/","1993年創業、ニュージーランド南島クイーンズタウン拠点の日本語ガイド会社。日本語ハイキングガイド専門で、ミルフォードサウンド・トラック、マウントクック国立公園、冬季はスキー場送迎まで対応。","https://www.nzwilderness.co.nz/aboutus/","不明（Queenstown Wilderness Adventure Limited運営）","不明","ハイキング／ミルフォードといったニッチアクティビティを、Z世代の『自然回帰・スピリチュアル旅』文脈で大衆化するショート動画戦略が刺さる。30年の運営知見をオーナー型発信に転換する提案が有効。"
"受け入れ系","NZ・留学/ファームステイ","ニュージーランド留学club","https://nzryugakuclub.com/","クライストチャーチを拠点に、日本人スタッフが家庭訪問して厳選したホストファミリー宅でのファームステイ・留学プログラムを手配。空港出迎え・現地オリエンテーション付。","https://nzryugakuclub.com/contact","不明","不明","ファームステイのリアルな1日Vlogをショート動画化し、『英語×自然×動物』というニッチ商材を女子留学層に大衆翻訳。LINE個別相談→契約導線で長期育成を提案。"
"受け入れ系","中南米・アルゼンチン","Vacaloca（ブエノスアイレス観光ガイド）","https://vacaloca1219.com/","アルゼンチン・ブエノスアイレス在住の日本人ガイドが運営。2016年から100名以上の日本人観光客を案内するプライベートツアー、市内観光、空港送迎、レストラン案内。","https://vacaloca1219.com/contact","不明（個人ガイド／要件再確認）","なし","個人事業色が強いため、RAHAの本格マーケ予算には不適合の可能性。除外候補だが、規模拡大志向あれば代表自身を主役にしたオーナー型ショート動画で『南米日本人ガイドのリアル』ジャンルを開拓提案。"
"受け入れ系","中南米・メキシコ","ルートツアーズ (Ruto Tours)","http://www.rutotours.com/","メキシコ・カンクン拠点、メキシコ観光省認定の日本人経営現地ツアー会社。チチェンイッツァ遺跡を日本人オフィシャルガイドが案内できる唯一の会社、セノーテ・マヤ遺跡ツアーを展開。","http://www.rutotours.com/contact/","不明（日本人経営）","不明","マヤ文明・セノーテといった『一生に一度の絶景体験』をストーリーテリングで共感拡散するショート動画施策が刺さる。家族旅行・ハネムーン層をターゲットにしたインスタリール戦略を提案。"
"受け入れ系","中南米・メキシコ","マヤンスカイ (Mayan Sky)","https://mayansky.com/","メキシコ・カンクン拠点の日本人ガイド同行現地オプショナルツアー＆空港送迎会社。少人数制・フレキシブル対応、ホテルピックアップ付き。","https://mayansky.com/contact/","不明","不明","ルートツアーズと競合関係。差別化要素を見つけるため、ガイドの個性／少人数制の利点をショート動画でフィーチャー。ハネムーン・絶景セノーテ写真コンテンツでInstagram集客→LINE予約導線を提案。"
"受け入れ系","中南米・コスタリカ","ゴジツアーズ (Goyi Tours)","http://www.goyitours.com/","中南米・コスタリカ拠点の日系旅行会社。エコツーリズム・野生動物観察・熱帯雨林ツアーを日本語で手配。","http://www.goyitours.com/contact","不明（日系経営）","不明","『エコツーリズム』という共感性の高いテーマを、Z世代のサステナ志向に刺すストーリーテリング型ショート動画で訴求。ナマケモノ・ケツァール等の絶景動物コンテンツはバズ素材として最適。"
"受け入れ系","中南米・ブラジル","WEC旅行社 (WEC Agencia de Viagens)","https://wecbrazil.com/","サンパウロ拠点、36年の歴史を持つ日本人経営の南米専門旅行会社。ブラジル、アルゼンチン、ペルー、チリ、ボリビアの旅行手配、視察・取材・企業ビジネスサポートまで対応。","https://www.wecbrazil.com/info/company.html","不明（日本人創設者）","不明","B2C個人旅行とB2B企業視察の両軸を持つ稀有な企業。リオのカーニバル／アマゾン／ウユニといった『南米三大絶景』をRAHA得意のストーリーテリングで翻訳し、富裕層・経営者層への両面アプローチを提案。"
"受け入れ系","中南米・エクアドル","ガラカミーノス・トラベル (Galacaminos Travel S.A.)","https://galacaminos.jp/","エクアドル・キト拠点、1988年創業（旧ジャパン・ツアーズ）の邦人経営最古参の現地旅行会社。ガラパゴス諸島・キト・南米周遊を専門に日本語で手配。","https://galacaminos.jp/contact/","代表は南米在住50年以上・エクアドル35年の福井県出身者（氏名要確認）","不明","ガラパゴスの希少動物体験はSNSバズ素材の宝庫。創業30年以上の知見を持つ代表のドキュメンタリー型ショート動画＋家族向け一生モノ旅行物語で、ハイエンド・教育系ファミリー層を狙う提案が刺さる。"
"受け入れ系","中南米・南米全域","F.T.S. Turismo","https://www.ftsturismo.com/","サンパウロ本社、経験豊富な日本人経営者によるオーダーメイド旅行会社。ブラジル国内ツアーに加え、ウユニ塩湖・マチュピチュなど南米・カリブ全域の手配を扱う。","https://www.ftsturismo.com/contact","不明（日本人経営）","不明","ウユニ塩湖の絶景はTikTok・Instagram上で常に高エンゲージメント素材。リアルタイム現地スタッフによる絶景ショート動画＋LINE限定旅行プラン配信で、一生に一度の旅需要を顕在化する提案が有効。"
"受け入れ系","欧州・フランス","Emi TRAVEL PARIS（エミトラベルパリ）","https://www.emitravel.net/","パリ8区に本社を構え30年以上の歴史を持つ日本人向け現地旅行会社。モンサンミッシェル・ベルサイユ・ルーブル等の日本語ガイド付ツアー、サポートラウンジ運営。","https://www.emitravel.net/contact/","不明","不明","30年以上の信頼資産があるが、SNS時代の若年女性旅行者の獲得は弱い可能性。パリ在住スタッフ目線の『日常パリVlog』をTikTok/Instagramで運用し、LINE登録→現地ラウンジ来訪のオフライン回遊導線を提案。"
"受け入れ系","欧州・イタリア","アーモイタリア (Amo Italia)","https://amoitalia.com/","フィレンツェ拠点のイタリア旅行情報発信＆現地ツアー手配サイト。日本人公認ガイドによるフィレンツェ・ローマ・トスカーナ等の半日〜1日プライベートツアー、ワイナリー・アグリ体験も対応。","https://amoitalia.com/contact/","堂 剛 (Tsuyoshi Do)","不明","メディア＋ツアー手配のハイブリッドモデル。RAHA得意の『ニッチを大衆化』をオーナー型情報発信に転換し、トスカーナワインや知られざる小都市をショート動画で訴求→LINEでツアー個別相談という導線設計を提案。"
"受け入れ系","欧州・チェコ","Prahatabi s.r.o.（プラハ旅）","https://www.prahatabi.com/","2009年設立、チェコ・プラハ拠点の現地旅行代理店。チェコ政府公認の日本人ガイドによる完全プライベートツアー（プラハ／チェスキークルムロフ／ウィーン・ザルツブルク移動）。","https://www.prahatabi.com/contact/","不明（日本人ガイド経営）","不明","東欧×美しい街並みはInstagramでバズりやすい素材。ガイド本人を主人公にした『プラハ現地暮らしVlog』＋ハネムーン・記念日カップル層向けストーリーで、東欧旅潜在需要を喚起する提案が刺さる。"
"受け入れ系","欧州・イギリス","Style Gate（スタイルゲート）","https://www.style-gate.com/","2012年設立、ロンドン拠点のプライベート観光ガイド会社。代表は英国20年以上在住、世界遺産から隠れ歩きコース、ビジネス視察・買い付け同行までを日本語で対応。","https://www.style-gate.com/about/","山城 みつか","不明","個人ガイド色強めだが代表の発信力が活きる業態。本人主演の『ロンドン暮らし＆隠れ名所Vlog』をTikTok/YouTubeに横展開し、観光ガイド→ビジネス視察→買い付け同行へと客単価アップする導線設計を提案。"
"受け入れ系","欧州・アイルランド","アイルランド留学情報（ireland-info.com）","https://ireland-info.com/","ダブリン現地の日系留学エージェント。語学学校・ワーホリ・長期留学手配を完全無料で提供、現地法人として最新情報発信。","https://ireland-info.com/contact","不明","不明","アイルランドはワーホリ後発国だが英語圏として伸び代大。現地スタッフのダブリン日常Vlogを軸に『安いカナダ／豪州ではなくアイルランド』というポジショニングを動画で確立、LINEで個別相談→契約導線を提案。"
"受け入れ系","中東・ヨルダン","ENJOY PETRA（エンジョイペトラ）","https://enjoy-petra.com/","2009年設立、ヨルダン現地拠点の日本人スタッフによるツアー手配＆テレビ番組制作会社。ペトラ・ワディラム・死海ツアーに加え、NHK・テレビ朝日等のドキュメンタリー撮影コーディネートも担う。","https://enjoy-petra.com/contact","不明（日本人スタッフ）","不明","ペトラ遺跡・ワディラムは映像映え抜群。番組制作で培った映像力とRAHAのショート動画企画力を掛け算し、『中東＝怖い』偏見を共感ストーリーで覆すTikTok/YouTubeチャンネル運用を提案。撮影コーディネート受託にもSNS発信が直結。"
"受け入れ系","中東・トルコ","OVERSEAS TOURISM","https://overseastourism.com/","イスタンブール旧市街（ブルーモスク至近）拠点、日本語対応のトルコ現地家族経営旅行会社。カッパドキア・パムッカレ・エフェソスツアー、トルコ料理教室、サッカー観戦チケット手配まで対応。","info@overseastourism.com","不明（家族経営）","不明","カッパドキア気球・トルコランプ・グルメは絶好のショート動画素材。家族経営の温かみを前面に出す『現地暮らしVlog』で他社との差別化を図り、LINEで個別オーダーメイド相談→ツアー予約導線を提案。"
